anio_inscripcion,matricula,sexo,nacionalidad,lugar_nacimiento,fecha_nacimiento,tipo_ingreso,colonia,escuela_procedencia,ubicacion_escuela_procedencia,nivel,carrera,turno,ciclo
2017,UVA20173347,NA,Mexicana,NA,1998-11-05,Repetidor,Itzimná,Preparatoria Estatal No. 1,"Mérida, Yucatán",Licenciatura,Lic. en Educación,Matutino,Agosto-Diciembre
2017,UVA20172050,F,Mexicana,Tizimín,1998-09-20,Reinscrito,Centro,Conalep Mérida,Tizimín,Ingeniería,Lic. en Gastronomía,Vespertino,2024-B
2017,UVA20179634,M,Mexicana,Mérida,1999-12-14,Nuevo,Itzimná,Conalep Mérida,"Mérida, Yucatán",Ingeniería,Lic. en Odontología,Vespertino,Enero-Junio
2017,UVA20171737,F,NA,Mérida,1998-09-17,Repetidor,Francisco De Montejo,NA,Tizimín,Licenciatura,Lic. en Fisioterapia,Matutino,2023-A
2017,UVA20174701,M,NA,Mérida,1996-07-21,Repetidor,Centro,Conalep Mérida,Tizimín,Licenciatura,Lic. en Psicología,Matutino,Enero-Junio
2017,UVA20178855,M,NA,Cancún,2004-12-08,Equivalencia,Centro,NA,NA,Licenciatura,Lic. en Psicología,Matutino,2024-B
2017,UVA20177463,M,Mexicana,Valladolid,1995-09-23,Nuevo,Centro,NA,Umán,Licenciatura,Lic. en Fisioterapia,Vespertino,2024-B
2017,UVA20173030,M,Mexicana,Valladolid,1999-10-20,Repetidor,Chuburná,NA,Umán,Ingeniería,Lic. en Gastronomía,Vespertino,Agosto-Diciembre
2017,UVA20174623,F,Mexicana,Mérida,2000-01-22,Repetidor,Centro,Conalep Mérida,NA,Licenciatura,Lic. en Diseño De Modas,Vespertino,Enero-Junio
2017,UVA20171724,NA,NA,Valladolid,2003-04-06,Nuevo,NA,NA,"Mérida, Yucatán",Ingeniería,Lic. en Fisioterapia,Matutino,2024-B
2017,UVA20173417,M,Mexicana,Mérida,2001-07-28,Reinscrito,NA,Cbtis 95,"Mérida, Yucatán",Licenciatura,Lic. en Odontología,Matutino,Agosto-Diciembre
2017,UVA20174049,M,NA,Tizimín,2002-06-11,Equivalencia,Centro,NA,Tizimín,Licenciatura,Lic. en Derecho,Vespertino,Agosto-Diciembre
2017,UVA20179142,F,NA,Valladolid,1998-12-25,Nuevo,Centro,Cbtis 95,Tizimín,Licenciatura,Ing. Civil,Vespertino,2023-A
2017,UVA20172799,M,Mexicana,Valladolid,2002-04-22,Nuevo,Centro,Preparatoria Estatal No. 1,Tizimín,Licenciatura,Lic. en Psicología,Vespertino,Enero-Junio
2017,UVA20176431,F,Mexicana,Mérida,1998-10-15,Reinscrito,Centro,Preparatoria Estatal No. 1,Tizimín,Ingeniería,Lic. en Psicología,Vespertino,2024-B
2017,UVA20174433,F,NA,NA,2002-06-22,Repetidor,Itzimná,Preparatoria Estatal No. 1,Kanasín,Ingeniería,Lic. en Nutrición,Matutino,2024-B
2017,UVA20177838,M,Mexicana,Valladolid,2000-01-07,Reinscrito,Centro,NA,NA,Licenciatura,Lic. en Gastronomía,Vespertino,Enero-Junio
2017,UVA20175277,M,NA,Valladolid,2005-12-04,Equivalencia,Centro,Preparatoria Estatal No. 1,Tizimín,Ingeniería,Lic. en Gastronomía,Vespertino,Enero-Junio
2017,UVA20176184,M,Mexicana,Tizimín,1997-04-25,Repetidor,Centro,NA,Kanasín,Licenciatura,Ing. Civil,Matutino,Enero-Junio
