nombre_original,nombre_google,direccion,municipio,estado,lat,lng,es_yucatan,criterio,place_id
COBAY CACALCHEN,COBAY CACALCHEN,"Motul - Cacalchen, 97460 Cacalchén, Yuc., Mexico",,,20.9962206,-89.2304219,True,coordenadas,ChIJXbyjf-SbVo8RRsihCVJDmM0
PREPARATORIA ESTATAL #10 RUBÉN H. RODRÍGUEZ MOGUEL,"Escuela Preparatoria Estatal Número 10 ""Ruben H. Rodríguez Moguel""","Calle 59, s/n 102-A y 106, Cd Caucel, 97314 Mérida, Yuc., Mexico",,,20.9993114,-89.7157014,True,"coordenadas,texto",ChIJydXwaV8LVo8R4sPk4kvksDc
UNIVERSIDAD VIZCAYA DE LAS AMÉRICAS,Universidad Vizcaya de las Américas,"C. 33 140, entre Calle 20, Col, Chuburná de Hidalgo, 97205 Mérida, Yuc., Mexico",,,21.004475,-89.632268,True,"coordenadas,texto",ChIJ-5CsYDVxVo8REsCxTJefSX8
ACUERDO 286,Acuerdo286 MX,"Av. Insurgentes Centro 730-Piso 2, Int. 238, Col del Valle, Benito Juárez, 03100 Ciudad de México, CDMX, Mexico",,,19.3924878,-99.17266090000001,False,,ChIJb2h4pMvtpgARVyEWgY1GwGg
ALIANZA DE CAMIONEROS,"Alianza de Camioneros de Yucatán ""Gonzalo López Manzanero""","Por la Calle 73, C. 62, Centro, 97000 Mérida, Yuc., Mexico",,,20.9599458,-89.62589899999999,True,"coordenadas,texto",ChIJVRUOxddzVo8RcUdWCKb5jT0
BACHILLERATO EN LINEA UADY,UADY Unidad Académica Bachillerato con Interacción Comunitaria,"Calle 185 S/N x 90-B y 92, Sin Nombre de Col 18, 97290 Mérida, Yuc., Mexico",,,20.898006,-89.65556459999999,True,"coordenadas,texto",ChIJC0nMY4ZtVo8R1LbmXlqXtm8
BETANCOURT -BRISAS,Escuela Normal Superior de Yucatán,"Calle 118 x Calle 71, Yucalpetén, 97238 Mérida, Yuc., Mexico",,,20.9732811,-89.6594834,True,"coordenadas,texto",ChIJ3TPYxKFzVo8RSXigkk_Rd_c
FELIPE ESCALANTE RUZ - BRISAS,,,,,,,False,,
BACHILLERATO COMUNITARIO SAMAHIL,TBCEY Samahil (Telebachillerato Comunitario de Samahil),"97810 Samahil, Yuc., Mexico",,,20.8835375,-89.889178,True,coordenadas,ChIJa8otYq4bVo8RQp--dvomqzU
COBAY BUCTOZTZ,Colegio de Bachilleres de Buctzotz,"Calle 4, 21 Y 25, C. 4 SN, Centro, 97620 Buctzotz, Yucatán, Mexico",,,21.2003372,-88.7837562,True,"coordenadas,texto",ChIJk81NC1wHVI8RnwnBh8g0uT0
COBAY TIXKOKOB,COBAY Plantel Tixkokob,"97470 Tixkokob, Yucatan, Mexico",,,20.9979574,-89.4039658,True,"coordenadas,texto",ChIJzUqMWwd-Vo8RBQPeScGAqTs
CBETIS 120,Cetis 120,"Av Francisco I. Madero Ote 4923, Cd Industrial, 58200 Morelia, Mich., Mexico",,,19.7205412,-101.1497708,False,,ChIJ01M6tMIRLYQRoYIW3psO6To
CBTIS 80,CETis 80,"Calle, Gral. Luis Moya SN, Insurgentes, 20287 Aguascalientes, Ags., Mexico",,,21.8479283,-102.3113371,False,,ChIJp3WCnjfsKYQRt5MIzse9Npg
COLEGIO AMERICANO,Colegio Americano,"C. 72 499, Barrio de Santiago, Centro, 97000 Mérida, Yuc., Mexico",,,20.9693634,-89.6307593,True,"coordenadas,texto",ChIJgwJiFNxzVo8RqKIDCovjQ6Y
COBACH COZUMEL,Colegio de Bachilleres,"50 Avenida Sur, C. 27 Sur, San Miguel I, 77666 Cozumel, Q.R., Mexico",,,20.4910141,-86.95469899999999,False,,ChIJ48j5c2NXTo8RyaIT3ir19p8
COBAY CHENKU,COBAY Chenkú,"Calle 32, Por Calle 25 y 27 SN, Residencial del Nte, 97219 Mérida, Yuc., Mexico",,,21.0075773,-89.64999329999999,True,"coordenadas,texto",ChIJT_wNmXF0Vo8Rp9ajD_EtYJs
COBAY HOMUN,Cobay Plantel Homún,"97580 Homún, Yucatan, Mexico",,,20.7385673,-89.297333,True,"coordenadas,texto",ChIJN2kAsHONVo8RTOVDda4qQmI
COBAY SOTUTA,Cobay Sotuta,"Calle 20 x 11 carretera a Tibolón, 40 X 11, 97690 Sotuta, Yucatán, Mexico",,,20.6053901,-89.0037789,True,"coordenadas,texto",ChIJwQ8a1BvEVo8R7h8t5tln31k
COBAY TZUCACAB,COBAY Plantel Tzucacab,"C. 30, 97960 Tzucacab, Yuc., Mexico",,,20.0847611,-89.0479687,True,coordenadas,ChIJPR39yzA9V48RD60-3zoJ-jA
CBTA 13 XMATKUIL,CBTA No. 13 Xmatkuil,"Ex-Hacienda Xmatkuil A.P. 970 Xmatkuil, 97139 Mérida, Yuc., Mexico",,,20.8590646,-89.62328169999999,True,"coordenadas,texto",ChIJNV2YGX9uVo8RXaismVkkq9U
COBAY YAXCABA,Cobay Yaxcabá,"C. 22, 97920 Yaxcabá, Yuc., Mexico",,,20.558921,-88.8252904,True,coordenadas,ChIJT7hiSQfNVo8RZl3qJck8svg
PREPARATORIA ABIERTA CALAFIA,Preparatoria Instituto Educativo Calafia,"CALLE DEL BARRO, Av. Poblado Islas Agrarias # 1201, 21600 Mexicali, B.C., Mexico",,,32.6062255,-115.3524951,False,,ChIJOzoWrid114ARjC-v44HXlPc
